Kategori,Soru,Durum,Beklenen,Üretilen
LIST,10000 tl üzeri harcama yapan müşterileri listele,BAŞARILI,"select customers.name, sum(orders.total_amount) as toplam from orders join customers on orders.customer_id = customers.id group by customers.name having sum(orders.total_amount) > 10000 order by toplam desc limit 10","select customers.name, sum(orders.total_amount) as toplam from orders join customers on orders.customer_id = customers.id group by customers.name having sum(orders.total_amount) > 10000 order by toplam desc limit 10"
LIST,aylara göre siparişleri listele,BAŞARILI,"select to_char(orders.created_at, 'yyyy-mm') as donem, count(*) as siparis_sayisi from orders group by donem order by donem","select to_char(orders.created_at, 'yyyy-mm') as donem, count(*) as siparis_sayisi from orders group by donem order by donem"
LIST,siparişleri ve müşterileri birlikte listele,HATALI,"select orders.total_amount, customers.name, orders.created_at from orders join customers on orders.customer_id = customers.id limit 10",select * from customers limit 10
MAX/MIN,en pahalı ürün ne kadar,BAŞARILI,select max(price) as sonuc from products,select max(price) as sonuc from products
MAX/MIN,en ucuz ürün ne kadar,BAŞARILI,select min(price) as sonuc from products,select min(price) as sonuc from products
MAX/MIN,en yüksek sipariş tutarı ne kadar,BAŞARILI,select max(total_amount) as sonuc from orders,select max(total_amount) as sonuc from orders
MAX/MIN,en düşük sipariş tutarı ne kadar,BAŞARILI,select min(total_amount) as sonuc from orders,select min(total_amount) as sonuc from orders
MAX/MIN,ilk 3 siparişi göster,BAŞARILI,select * from orders order by orders.created_at asc limit 3,select * from orders order by orders.created_at asc limit 3
MAX/MIN,son 5 siparişi göster,BAŞARILI,select * from orders order by orders.created_at desc limit 5,select * from orders order by orders.created_at desc limit 5
MAX/MIN,en pahalı 5 ürün göster,BAŞARILI,select products.name from products order by price desc limit 5,select products.name from products order by price desc limit 5
MAX/MIN,en ucuz 5 ürün göster,BAŞARILI,select products.name from products order by price asc limit 5,select products.name from products order by price asc limit 5
